TransactionDate,GroupCostPrice,GroupQuantity
12/24/18,164526.8,79.6
12/25/18,133308,64.21
12/26/18,86278.57,41.93
12/27/18,106516.1,51.65
12/28/18,0,0
12/29/18,139792.9,68.08
12/30/18,134476.2,65.85
12/31/18,83566.99,40.73
01/01/19,103923.4,50.4
01/02/19,91151.45,44.48
01/03/19,154459.6,75.62
01/04/19,0,0
01/05/19,99034.05,48.36
01/06/19,146697.7,72.03
01/07/19,145189.6,70.95
01/08/19,115502.6,56.6
01/09/19,171546.2,84.04
01/10/19,109390,53.75
01/11/19,0,0
01/12/19,97044.64,47.67
01/13/19,108867.3,53.55
01/14/19,116259.5,57.05
01/15/19,55843.41,27.31
01/16/19,129197.7,62.64
01/17/19,112825,54.4
01/18/19,0,0
01/19/19,201270.7,96.23
01/20/19,73608.74,35.26
01/21/19,109001.5,51.95
01/22/19,99403.79,47.3
01/23/19,106284.6,50.59
01/24/19,127151.5,60.53
01/25/19,0,0
01/26/19,157398.7,74.97
01/27/19,96807.95,46.12
01/28/19,157754.4,75.13
01/29/19,122236.6,58.17
01/30/19,195817.1,93.21
01/31/19,78622.48,37.43
02/01/19,0,0
02/02/19,135494.9,64.51
02/03/19,131952.1,62.48
02/04/19,107501.3,50.95
02/05/19,131505.3,62.56
02/06/19,205798.9,96.97
02/07/19,134073.5,63.2
02/08/19,0,0
02/09/19,127873.9,59.41
02/10/19,157585.1,72.91
02/11/19,167592.2,77.44
02/12/19,66158.11,30.49
02/13/19,74588.27,34.29
02/14/19,124877.8,56.9
02/15/19,0,0
02/16/19,241248.2,109.3
02/17/19,185819.1,82.57
02/18/19,194448.9,85.28
02/19/19,95063.38,42.12
02/20/19,123409,53.93
02/21/19,115973.2,50.89
02/22/19,0,0
02/23/19,144126,62.49
02/24/19,150354.3,65.49
02/25/19,145522.1,63.38
02/26/19,146310.7,63
02/27/19,124530.2,54.49
02/28/19,179021.3,79.45
03/01/19,0,0
03/02/19,173614.9,75.09
03/03/19,121709.9,53.02
03/04/19,203584.4,87.18
03/05/19,134772.3,57.87
03/06/19,114172.1,48.23
03/07/19,94889.45,40.78
03/08/19,0,0
03/09/19,163770.7,69.39
03/10/19,110240.6,47.3
03/11/19,125421.6,53.35
03/12/19,87535.5,37.68
03/13/19,98363.25,42.17
03/14/19,110028.6,47.09
03/15/19,0,0
03/16/19,144752.9,61.05
03/17/19,129396.9,55.13
03/18/19,125698.6,54.02
03/19/19,120649.1,51.58
03/20/19,116795.8,49.43
03/21/19,111009.1,46.29
03/22/19,0,0
03/23/19,184518.7,77.27
03/24/19,83289.21,35.03
03/25/19,127170,53.58
03/26/19,116574.1,49.13
03/27/19,125767.7,52.78
03/28/19,95840.85,40.28
03/29/19,0,0
03/30/19,170144.3,70.45
03/31/19,116607.4,48.73
04/01/19,149205.7,60.58
04/02/19,95011.77,38.95
04/03/19,78508.07,33.07
04/04/19,172492,70.77
04/05/19,0,0
04/06/19,109536.3,44.78
04/07/19,133025.4,53.96
04/08/19,92401.26,37.56
04/09/19,122652.8,50.1
04/10/19,136921.5,55.86
04/11/19,104135.9,42.84
04/12/19,0,0
04/13/19,116865.9,47.34
04/14/19,154684.3,63.41
04/15/19,101399.7,41.42
04/16/19,146759.1,60.1
04/17/19,149064.4,60.97
04/18/19,112123.1,45.91
04/19/19,0,0
04/20/19,182353.2,74.44
04/21/19,200396,82.01
04/22/19,133896.5,54.79
04/23/19,95996.18,39.25
04/24/19,126915.6,52.02
04/25/19,139127.2,56.89
04/26/19,0,0
04/27/19,159106.2,65.19
04/28/19,111824.1,45.76
04/29/19,128238.9,52.54
04/30/19,120697.2,50.06
05/01/19,95692.69,39.31
05/02/19,130633.4,54.35
05/03/19,0,0
05/04/19,114933.7,48.01
05/05/19,95056.49,39.79
05/06/19,39198.14,16.62
05/07/19,27216.69,11.5
05/08/19,48875.06,20.58
05/09/19,59098.42,24.91
05/10/19,7426.048,3
05/11/19,123539.5,52.88
05/12/19,72313.99,30.88
05/13/19,68610.99,29.48
05/14/19,62787.54,26.86
05/15/19,65541.29,28.04
05/16/19,61004.53,26.04
05/17/19,4704.46,2
05/18/19,68730.87,29.41
05/19/19,52007.32,22.21
05/20/19,27112.45,11.65
05/21/19,81929.92,35.16
05/22/19,79961.61,34.38
05/23/19,60392.32,25.93
05/24/19,4724.903,2
05/25/19,66713.3,28.59
05/26/19,51830.71,22.22
05/27/19,57257.46,24.47
05/28/19,31428.83,13.52
05/29/19,55465.54,23.86
05/30/19,33564.74,14.43
05/31/19,0,0
06/01/19,45857.1,19.76
06/02/19,85809.44,37.21
06/03/19,0,0
06/04/19,0,0
06/05/19,0,0
06/06/19,0,0
06/07/19,0,0
06/08/19,137274.4,59.3
06/09/19,145012.7,62.68
06/10/19,122184.5,52.62
06/11/19,107317.1,45.99
06/12/19,141281.1,60.94
06/13/19,83867.32,36.41
06/14/19,0,0
06/15/19,127725.7,55.94
06/16/19,93771.37,41.64
06/17/19,149326.4,65.58
06/18/19,86192.55,37.88
06/19/19,118567.7,52.83
06/20/19,171892.1,76.28
06/21/19,0,0
06/22/19,193274.2,85.08
06/23/19,122712.8,54.45
06/24/19,159289,70.69
06/25/19,107350.9,47.96
06/26/19,91809.94,40.92
06/27/19,134307.2,60.18
06/28/19,0,0
06/29/19,178189.7,79.54
06/30/19,171493.2,76.89
07/01/19,144801.7,64.65
07/02/19,141415.1,63.49
07/03/19,104285.8,46.72
07/04/19,109603.2,49.24
07/05/19,0,0
07/06/19,107216.1,48.32
07/07/19,143673.3,64.55
07/08/19,63423.08,28.64
07/09/19,147228.3,67.03
07/10/19,138624.4,63.18
07/11/19,258015.9,119.8
07/12/19,0,0
07/13/19,111597,51.39
07/14/19,116337.1,53.86
07/15/19,94199.25,43.46
07/16/19,157730.9,73.25
